source,target,native
eat,खाना
run,दौड़ना
cook,पकाना
like,पसंद करना
speak,बोलना
write,लिखना
read,पढ़ना
play,खेलना
walk,चलना
jump,कूदना
see,देखना
sleep,सोना
drink,पीना
learn,सीखना
teach,पढ़ाना
help,मदद करना
think,सोचना
ask,पूछना
answer,उत्तर देना
buy,खरीदना
sell,बेचना
open,खोलना
close,बंद करना
find,खोजना
lose,खोना
start,शुरू करना
stop,रोकना
sit,बैठना
stand,खड़ा होना
work,काम करना
live,रहना
love,प्यार करना
hate,नफरत करना
wait,इंतजार करना
call,बुलाना
show,दिखाना
bring,लाना
carry,ले जाना
break,तोड़ना
build,बनाना
understand,समझना
remember,याद रखना
forget,भूलना
enjoy,आनंद लेना
improve,सुधार करना
create,निर्माण करना
believe,विश्वास करना
decide,निर्णय लेना
try,प्रयास करना
win,जीतना
lose,हारना
show,दिखाना
change,बदलना
Verb (English),Meaning (Hindi)
accept,स्वीकार करना
achieve,प्राप्त करना
agree,सहमत होना
allow,अनुमति देना
answer,उत्तर देना
ask,पूछना
believe,विश्वास करना
borrow,उधार लेना
break,तोड़ना
bring,लाना
build,बनाना
buy,खरीदना
call,बुलाना
carry,ले जाना
catch,पकड़ना
change,बदलना
choose,चुनना
clean,साफ करना
close,बंद करना
come,आना
cook,पकाना
copy,नकल करना
dance,नृत्य करना
decide,निर्णय लेना
describe,वर्णन करना
discover,खोज करना
do,करना
draw,चित्र बनाना
drink,पीना
drive,चलाना
eat,खाना
enjoy,आनंद लेना
explain,समझाना
fall,गिरना
feel,महसूस करना
fight,लड़ना
find,खोजना
finish,समाप्त करना
fit,फिट करना
fly,उड़ना
forget,भूलना
forgive,माफ करना
get,पाना
give,देना
go,जाना
grow,बढ़ना
happen,होना
hate,नफरत करना
have,पास होना
hear,सुनना
help,मदद करना
hide,छिपाना
hit,मारना
hold,पकड़ना
hope,आशा करना
improve,सुधार करना
invite,आमंत्रित करना
jump,कूदना
keep,रखना
kill,मारना
know,जानना
learn,सीखना
leave,छोड़ना
lend,उधार देना
let,अनुमति देना
lie,झूठ बोलना
like,पसंद करना
listen,सुनना
live,रहना
look,देखना
lose,खोना
love,प्यार करना
make,बनाना
marry,शादी करना
meet,मिलना
move,चलाना
need,आवश्यक होना
open,खोलना
organize,आयोजन करना
pay,भुगतान करना
play,खेलना
prepare,तैयार करना
promise,वादा करना
protect,सुरक्षा करना
provide,प्रदान करना
pull,खींचना
push,धक्का देना
put,रखना
read,पढ़ना
realize,समझना
receive,प्राप्त करना
recognize,पहचानना
remember,याद रखना
reply,उत्तर देना
return,वापस करना
ride,सवारी करना
ring,घंटी बजाना
run,दौड़ना
save,बचाना
say,कहना
see,देखना
sell,बेचना
send,भेजना
show,दिखाना
sing,गाना
sit,बैठना
sleep,सोना
speak,बोलना
spend,खर्च करना
stand,खड़ा होना
start,शुरू करना
stay,रुकना
steal,चोरी करना
stop,रोकना
study,पढ़ाई करना
suggest,सुझाव देना
swim,तैरना
take,लेना
talk,बात करना
teach,पढ़ाना
tell,बताना
think,सोचना
throw,फेंकना
touch,छूना
travel,यात्रा करना
try,प्रयास करना
turn,मोड़ना
understand,समझना
use,प्रयोग करना
visit,भ्रमण करना
wait,इंतजार करना
walk,चलना
want,चाहना
wash,धोना
watch,देखना
win,जीतना
work,काम करना
worry,चिंता करना
write,लिखना
arrive,पहुंचना
attack,आक्रमण करना
attract,आकर्षित करना
begin,शुरू करना
belong,संबंधित होना
bite,काटना
blow,फूंकना
burn,जलाना
burst,फटना
care,ध्यान रखना
celebrate,जश्न मनाना
climb,चढ़ना
complain,शिकायत करना
